class,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,23x,23y,23z,24x,24y,24z,lshoulder,rshoulder,lelbow,relbow
turn_left,0.61531055,0.523663878,-0.031603098,0.409097105,0.504465699,-0.058594413,0.737884879,0.526729345,-0.192507163,0.277850926,0.490031809,-0.08143276,0.804474056,0.386996686,-0.505902767,0.140058249,0.468493193,-0.292762756,0.583211839,0.905595183,0.00521697,0.455737889,0.90362817,-0.00389104,111,120,66,3
turn_left,0.615100026,0.522800028,-0.014901537,0.411655426,0.505031466,-0.050548442,0.745210052,0.533515513,-0.20845446,0.28010571,0.489267945,-0.085578308,0.771387696,0.36884743,-0.54585743,0.14105092,0.462432802,-0.313657135,0.583184242,0.905594826,0.007785858,0.455737501,0.903691411,-0.006366215,109,120,86,4
turn_left,0.615070403,0.522627056,-0.003880221,0.413343132,0.505031049,-0.042173125,0.747784019,0.533125937,-0.205836728,0.280655593,0.4892461,-0.066102363,0.775535464,0.356404185,-0.523571014,0.141163379,0.461524189,-0.263761759,0.583090484,0.905282438,0.01326065,0.455731153,0.903683603,-0.011829797,109,120,86,4
turn_left,0.615067124,0.522457719,-0.0045516,0.414187968,0.505011618,-0.041530542,0.748811126,0.532942295,-0.204452127,0.280698478,0.489223361,-0.056566052,0.776990771,0.351635844,-0.520650268,0.140991792,0.460193098,-0.239118487,0.582993209,0.904408276,0.015200377,0.455709636,0.902811348,-0.013756605,110,120,86,5
turn_left,0.614970326,0.522426546,-0.021171719,0.414581835,0.505043507,-0.042797953,0.749431968,0.540012419,-0.253678709,0.280693144,0.488926411,-0.057541423,0.767761469,0.355478108,-0.587776542,0.140918583,0.459315687,-0.239726946,0.582990885,0.904330611,0.014852317,0.455751359,0.902803361,-0.013412344,107,120,92,5
turn_left,0.614952266,0.522398114,-0.026240736,0.41481787,0.505028903,-0.042433407,0.750614464,0.542212665,-0.282730013,0.281025261,0.488923818,-0.060131393,0.760949254,0.356497377,-0.63622731,0.142068833,0.459464729,-0.248508185,0.582988858,0.903752863,0.01453042,0.455747426,0.902430594,-0.013101457,107,120,95,5
turn_left,0.615122557,0.522395372,-0.039187025,0.415386587,0.505947411,-0.034753803,0.753369987,0.54381448,-0.339137733,0.281596929,0.48783654,-0.058161754,0.737296939,0.35787037,-0.716038585,0.141947776,0.45431295,-0.2422961,0.583001673,0.903774202,0.009331808,0.455713421,0.902206004,-0.007957425,107,121,104,6
turn_left,0.615196884,0.522101343,-0.040168785,0.415655941,0.507109523,-0.028727582,0.753810763,0.545552015,-0.32902801,0.282550633,0.487350881,-0.047620688,0.725910723,0.358698517,-0.687094986,0.142165452,0.452108204,-0.234012172,0.582982361,0.903939545,0.006406774,0.455663204,0.902188301,-0.005018475,106,121,108,6
turn_left,0.615194619,0.521865606,-0.028605491,0.415644407,0.507380545,-0.030009031,0.75436312,0.545478165,-0.297755569,0.282898515,0.486764431,-0.04649023,0.72964251,0.358905822,-0.65295732,0.142294392,0.450852722,-0.238575697,0.583070159,0.903968096,0.00683523,0.455864042,0.902281404,-0.005409831,106,121,107,5
turn_left,0.61522609,0.521583974,-0.029732633,0.415755212,0.507576823,-0.030866433,0.754705548,0.54517144,-0.289881021,0.283133805,0.48635304,-0.048068069,0.737050056,0.35829705,-0.643609285,0.142381564,0.450291932,-0.251485169,0.583168864,0.904048026,0.006266819,0.455951929,0.902304947,-0.004823201,106,122,105,5
