Date & Time,Start Engine,Straight Ahead,Turn Left,Turn Right,Stop,Set Brakes,Chocks Inserted,Cut Engines,All Clear,Overall Score,Status
2025-08-26 16:32:05,86,74,97,87,90,98,86,86,96,89,GOOD
2025-09-13 19:09:54,0,98,17,87,90,88,89,84,92,72,NEEDS IMPROVEMENT
2025-09-20 15:16:05,87,74,91,90,88,90,26,98,91,81,GOOD
2025-09-20 15:40:27,84,33,84,94,90,97,88,86,82,82,GOOD
2025-09-20 15:41:13,84,33,84,94,90,97,88,86,82,82,GOOD
2025-09-20 21:20:10,84,33,84,94,90,97,88,86,82,82,GOOD
2025-09-20 21:23:59,84,33,84,94,90,97,88,86,82,82,GOOD
2025-09-20 21:32:49,84,33,84,94,90,97,88,86,82,82,GOOD
2025-09-20 21:33:39,84,33,84,94,90,97,88,86,82,82,GOOD
2025-09-20 21:35:13,84,33,84,94,90,97,88,86,82,82,GOOD
2025-09-20 21:38:57,97,97,91,79,91,97,25,94,95,85,GOOD
2025-09-20 22:05:48,91,86,89,95,92,97,81,91,95,91,EXCELLENT
2025-09-20 22:07:54,77,85,84,87,90,98,25,98,99,82,GOOD
2025-09-20 22:07:54,77,85,84,87,90,98,25,98,99,82,GOOD
